"","region","freq","BORO","REST","orival","value"
"1","10001",472,"new york",382,1.23560209424084,"1.2-1.29"
"2","10002",477,"new york",390,1.22307692307692,"1.2-1.29"
"3","10003",746,"new york",622,1.19935691318328,"1.0-1.19"
"4","10004",156,"new york",127,1.22834645669291,"1.2-1.29"
"5","10005",52,"new york",46,1.1304347826087,"1.0-1.19"
"6","10006",42,"new york",37,1.13513513513514,"1.0-1.19"
"7","10007",163,"new york",112,1.45535714285714,"1.4-1.49"
"8","10009",282,"new york",256,1.1015625,"1.0-1.19"
"9","10010",279,"new york",217,1.28571428571429,"1.2-1.29"
"10","10011",418,"new york",400,1.045,"1.0-1.19"
"11","10012",417,"new york",353,1.18130311614731,"1.0-1.19"
"12","10013",570,"new york",450,1.26666666666667,"1.2-1.29"
"13","10014",393,"new york",342,1.14912280701754,"1.0-1.19"
"14","10016",445,"new york",360,1.23611111111111,"1.2-1.29"
"15","10017",354,"new york",295,1.2,"1.0-1.19"
"16","10018",355,"new york",278,1.27697841726619,"1.2-1.29"
"17","10019",775,"new york",598,1.29598662207358,"1.2-1.29"
"18","10020",48,"new york",42,1.14285714285714,"1.0-1.19"
"19","10021",161,"new york",137,1.17518248175182,"1.0-1.19"
"20","10022",505,"new york",383,1.31853785900783,"1.3-1.39"
"21","10023",162,"new york",149,1.08724832214765,"1.0-1.19"
"22","10024",178,"new york",164,1.08536585365854,"1.0-1.19"
"23","10025",253,"new york",232,1.09051724137931,"1.0-1.19"
"24","10026",93,"new york",74,1.25675675675676,"1.2-1.29"
"25","10027",184,"new york",137,1.34306569343066,"1.3-1.39"
"26","10028",237,"new york",189,1.25396825396825,"1.2-1.29"
"27","10029",188,"new york",174,1.08045977011494,"1.0-1.19"
"28","10030",40,"new york",36,1.11111111111111,"1.0-1.19"
"29","10031",107,"new york",97,1.10309278350515,"1.0-1.19"
"30","10032",133,"new york",102,1.30392156862745,"1.3-1.39"
"31","10033",113,"new york",91,1.24175824175824,"1.2-1.29"
"32","10034",114,"new york",95,1.2,"1.0-1.19"
"33","10035",74,"new york",66,1.12121212121212,"1.0-1.19"
"34","10036",623,"new york",488,1.27663934426229,"1.2-1.29"
"35","10037",27,"new york",26,1.03846153846154,"1.0-1.19"
"36","10038",217,"new york",159,1.36477987421384,"1.3-1.39"
"37","10039",28,"new york",25,1.12,"1.0-1.19"
"38","10040",67,"new york",56,1.19642857142857,"1.0-1.19"
"39","10044",11,"new york",9,1.22222222222222,"1.2-1.29"
"40","10065",194,"new york",165,1.17575757575758,"1.0-1.19"
"41","10069",2,"new york",4,0.5,"< 1.0"
"42","10075",92,"new york",80,1.15,"1.0-1.19"
"43","10103",3,"new york",2,1.5,"1.4-1.49"
"44","10111",5,"new york",4,1.25,"1.2-1.29"
"45","10112",16,"new york",12,1.33333333333333,"1.3-1.39"
"46","10119",20,"new york",14,1.42857142857143,"1.4-1.49"
"47","10128",137,"new york",136,1.00735294117647,"1.0-1.19"
"48","10153",1,"new york",1,1,"< 1.0"
"49","10154",2,"new york",1,2,"> 1.6"
"50","10165",1,"new york",1,1,"< 1.0"
"51","10167",2,"new york",3,0.666666666666667,"< 1.0"
"52","10168",6,"new york",4,1.5,"1.4-1.49"
"53","10169",5,"new york",15,0.333333333333333,"< 1.0"
"54","10173",1,"new york",1,1,"< 1.0"
"55","10174",4,"new york",3,1.33333333333333,"1.3-1.39"
"56","10271",4,"new york",2,2,"> 1.6"
"57","10279",5,"new york",2,2.5,"> 1.6"
"58","10280",21,"new york",29,0.724137931034483,"< 1.0"
"59","10282",22,"new york",17,1.29411764705882,"1.2-1.29"
"60","10301",120,"richmond",83,1.44578313253012,"1.4-1.49"
"61","10302",62,"richmond",53,1.16981132075472,"1.0-1.19"
"62","10303",21,"richmond",25,0.84,"< 1.0"
"63","10304",40,"richmond",35,1.14285714285714,"1.0-1.19"
"64","10305",111,"richmond",82,1.35365853658537,"1.3-1.39"
"65","10306",116,"richmond",84,1.38095238095238,"1.3-1.39"
"66","10307",33,"richmond",20,1.65,"> 1.6"
"67","10308",56,"richmond",43,1.30232558139535,"1.3-1.39"
"68","10309",59,"richmond",54,1.09259259259259,"1.0-1.19"
"69","10310",71,"richmond",54,1.31481481481481,"1.3-1.39"
"70","10311",1,"richmond",1,1,"< 1.0"
"71","10312",92,"richmond",73,1.26027397260274,"1.2-1.29"
"72","10314",218,"richmond",155,1.40645161290323,"1.4-1.49"
"73","10451",172,"bronx",145,1.18620689655172,"1.0-1.19"
"74","10452",96,"bronx",90,1.06666666666667,"1.0-1.19"
"75","10453",88,"bronx",86,1.02325581395349,"1.0-1.19"
"76","10454",67,"bronx",67,1,"< 1.0"
"77","10455",96,"bronx",81,1.18518518518519,"1.0-1.19"
"78","10456",62,"bronx",66,0.939393939393939,"< 1.0"
"79","10457",87,"bronx",75,1.16,"1.0-1.19"
"80","10458",157,"bronx",150,1.04666666666667,"1.0-1.19"
"81","10459",71,"bronx",62,1.14516129032258,"1.0-1.19"
"82","10460",44,"bronx",51,0.862745098039216,"< 1.0"
"83","10461",159,"bronx",142,1.11971830985915,"1.0-1.19"
"84","10462",145,"bronx",137,1.05839416058394,"1.0-1.19"
"85","10463",111,"bronx",96,1.15625,"1.0-1.19"
"86","10464",42,"bronx",33,1.27272727272727,"1.2-1.29"
"87","10465",76,"bronx",64,1.1875,"1.0-1.19"
"88","10466",82,"bronx",85,0.964705882352941,"< 1.0"
