"","region","freq","BORO","REST","orival","value"
"1","10001",98,"new york",117,0.837606837606838,"0.8-0.99"
"2","10002",99,"new york",90,1.1,"1.0-1.19"
"3","10003",118,"new york",144,0.819444444444444,"0.8-0.99"
"4","10004",29,"new york",33,0.878787878787879,"0.8-0.99"
"5","10005",14,"new york",16,0.875,"0.8-0.99"
"6","10006",23,"new york",19,1.21052631578947,"1.2-1.39"
"7","10007",27,"new york",33,0.818181818181818,"0.8-0.99"
"8","10009",86,"new york",85,1.01176470588235,"1.0-1.19"
"9","10010",71,"new york",71,1,"0.8-0.99"
"10","10011",102,"new york",101,1.00990099009901,"1.0-1.19"
"11","10012",107,"new york",109,0.981651376146789,"0.8-0.99"
"12","10013",125,"new york",113,1.10619469026549,"1.0-1.19"
"13","10014",144,"new york",133,1.08270676691729,"1.0-1.19"
"14","10016",95,"new york",88,1.07954545454545,"1.0-1.19"
"15","10017",80,"new york",81,0.987654320987654,"0.8-0.99"
"16","10018",80,"new york",65,1.23076923076923,"1.2-1.39"
"17","10019",164,"new york",178,0.921348314606742,"0.8-0.99"
"18","10020",15,"new york",18,0.833333333333333,"0.8-0.99"
"19","10021",44,"new york",39,1.12820512820513,"1.0-1.19"
"20","10022",113,"new york",106,1.06603773584906,"1.0-1.19"
"21","10023",61,"new york",60,1.01666666666667,"1.0-1.19"
"22","10024",44,"new york",48,0.916666666666667,"0.8-0.99"
"23","10025",81,"new york",67,1.2089552238806,"1.2-1.39"
"24","10026",14,"new york",13,1.07692307692308,"1.0-1.19"
"25","10027",20,"new york",31,0.645161290322581,"0.6-0.79"
"26","10028",46,"new york",42,1.0952380952381,"1.0-1.19"
"27","10029",29,"new york",39,0.743589743589744,"0.6-0.79"
"28","10030",3,"new york",7,0.428571428571429,"< 0.6"
"29","10031",16,"new york",24,0.666666666666667,"0.6-0.79"
"30","10032",38,"new york",39,0.974358974358974,"0.8-0.99"
"31","10033",31,"new york",36,0.861111111111111,"0.8-0.99"
"32","10034",16,"new york",23,0.695652173913043,"0.6-0.79"
"33","10035",7,"new york",10,0.7,"0.6-0.79"
"34","10036",169,"new york",172,0.982558139534884,"0.8-0.99"
"35","10037",5,"new york",7,0.714285714285714,"0.6-0.79"
"36","10038",30,"new york",31,0.967741935483871,"0.8-0.99"
"37","10039",3,"new york",5,0.6,"< 0.6"
"38","10040",16,"new york",12,1.33333333333333,"1.2-1.39"
"39","10044",3,"new york",5,0.6,"< 0.6"
"40","10065",45,"new york",45,1,"0.8-0.99"
"41","10069",4,"new york",3,1.33333333333333,"1.2-1.39"
"42","10075",40,"new york",31,1.29032258064516,"1.2-1.39"
"43","10110",1,"new york",1,1,"0.8-0.99"
"44","10111",4,"new york",4,1,"0.8-0.99"
"45","10112",2,"new york",4,0.5,"< 0.6"
"46","10128",52,"new york",45,1.15555555555556,"1.0-1.19"
"47","10280",5,"new york",5,1,"0.8-0.99"
"48","10301",28,"richmond",26,1.07692307692308,"1.0-1.19"
"49","10302",11,"richmond",10,1.1,"1.0-1.19"
"50","10303",12,"richmond",9,1.33333333333333,"1.2-1.39"
"51","10304",19,"richmond",12,1.58333333333333,"1.4-1.59"
"52","10305",29,"richmond",31,0.935483870967742,"0.8-0.99"
"53","10306",43,"richmond",34,1.26470588235294,"1.2-1.39"
