"","region","freq","BORO","REST","orival","value"
"1","10001",103,"new york",117,0.88034188034188,"0.8-0.99"
"2","10002",79,"new york",90,0.877777777777778,"0.8-0.99"
"3","10003",147,"new york",144,1.02083333333333,"1.0-1.19"
"4","10004",18,"new york",33,0.545454545454545,"< 0.6"
"5","10005",16,"new york",16,1,"0.8-0.99"
"6","10006",15,"new york",19,0.789473684210526,"0.6-0.79"
"7","10007",22,"new york",33,0.666666666666667,"0.6-0.79"
"8","10009",76,"new york",85,0.894117647058824,"0.8-0.99"
"9","10010",43,"new york",71,0.605633802816901,"0.6-0.79"
"10","10011",66,"new york",101,0.653465346534653,"0.6-0.79"
"11","10012",110,"new york",109,1.00917431192661,"1.0-1.19"
"12","10013",91,"new york",113,0.805309734513274,"0.8-0.99"
"13","10014",104,"new york",133,0.781954887218045,"0.6-0.79"
"14","10016",71,"new york",88,0.806818181818182,"0.8-0.99"
"15","10017",56,"new york",81,0.691358024691358,"0.6-0.79"
"16","10018",63,"new york",65,0.969230769230769,"0.8-0.99"
"17","10019",112,"new york",178,0.629213483146067,"0.6-0.79"
"18","10020",7,"new york",18,0.388888888888889,"< 0.6"
"19","10021",42,"new york",39,1.07692307692308,"1.0-1.19"
"20","10022",84,"new york",106,0.792452830188679,"0.6-0.79"
"21","10023",24,"new york",60,0.4,"< 0.6"
"22","10024",46,"new york",48,0.958333333333333,"0.8-0.99"
"23","10025",68,"new york",67,1.01492537313433,"1.0-1.19"
"24","10026",17,"new york",13,1.30769230769231,"1.2-1.39"
"25","10027",28,"new york",31,0.903225806451613,"0.8-0.99"
"26","10028",38,"new york",42,0.904761904761905,"0.8-0.99"
"27","10029",31,"new york",39,0.794871794871795,"0.6-0.79"
"28","10030",7,"new york",7,1,"0.8-0.99"
"29","10031",27,"new york",24,1.125,"1.0-1.19"
"30","10032",28,"new york",39,0.717948717948718,"0.6-0.79"
"31","10033",33,"new york",36,0.916666666666667,"0.8-0.99"
"32","10034",20,"new york",23,0.869565217391304,"0.8-0.99"
"33","10035",13,"new york",10,1.3,"1.2-1.39"
"34","10036",129,"new york",172,0.75,"0.6-0.79"
"35","10037",4,"new york",7,0.571428571428571,"< 0.6"
"36","10038",25,"new york",31,0.806451612903226,"0.8-0.99"
"37","10039",5,"new york",5,1,"0.8-0.99"
"38","10040",11,"new york",12,0.916666666666667,"0.8-0.99"
"39","10065",33,"new york",45,0.733333333333333,"0.6-0.79"
"40","10069",2,"new york",3,0.666666666666667,"0.6-0.79"
"41","10075",29,"new york",31,0.935483870967742,"0.8-0.99"
"42","10111",1,"new york",4,0.25,"< 0.6"
"43","10112",3,"new york",4,0.75,"0.6-0.79"
"44","10119",4,"new york",3,1.33333333333333,"1.2-1.39"
"45","10128",47,"new york",45,1.04444444444444,"1.0-1.19"
"46","10167",1,"new york",1,1,"0.8-0.99"
"47","10168",1,"new york",1,1,"0.8-0.99"
"48","10301",13,"richmond",26,0.5,"< 0.6"
"49","10302",18,"richmond",10,1.8,"> 1.6"
"50","10303",6,"richmond",9,0.666666666666667,"0.6-0.79"
"51","10304",11,"richmond",12,0.916666666666667,"0.8-0.99"
"52","10305",24,"richmond",31,0.774193548387097,"0.6-0.79"
"53","10306",24,"richmond",34,0.705882352941177,"0.6-0.79"
"54","10307",7,"richmond",15,0.466666666666667,"< 0.6"
"55","10308",21,"richmond",19,1.10526315789474,"1.0-1.19"
"56","10309",7,"richmond",20,0.35,"< 0.6"
"57","10310",8,"richmond",12,0.666666666666667,"0.6-0.79"
"58","10312",10,"richmond",20,0.5,"< 0.6"
"59","10314",40,"richmond",50,0.8,"0.6-0.79"
"60","10451",22,"bronx",30,0.733333333333333,"0.6-0.79"
"61","10452",12,"bronx",16,0.75,"0.6-0.79"
"62","10453",30,"bronx",28,1.07142857142857,"1.0-1.19"
"63","10454",22,"bronx",12,1.83333333333333,"> 1.6"
"64","10455",32,"bronx",24,1.33333333333333,"1.2-1.39"
"65","10456",16,"bronx",18,0.888888888888889,"0.8-0.99"
"66","10457",17,"bronx",22,0.772727272727273,"0.6-0.79"
"67","10458",42,"bronx",36,1.16666666666667,"1.0-1.19"
"68","10459",11,"bronx",15,0.733333333333333,"0.6-0.79"
"69","10460",10,"bronx",8,1.25,"1.2-1.39"
"70","10461",22,"bronx",27,0.814814814814815,"0.8-0.99"
"71","10462",15,"bronx",37,0.405405405405405,"< 0.6"
"72","10463",29,"bronx",27,1.07407407407407,"1.0-1.19"
"73","10464",1,"bronx",7,0.142857142857143,"< 0.6"
"74","10465",12,"bronx",11,1.09090909090909,"1.0-1.19"
"75","10466",23,"bronx",18,1.27777777777778,"1.2-1.39"
"76","10467",28,"bronx",27,1.03703703703704,"1.0-1.19"
"77","10468",24,"bronx",21,1.14285714285714,"1.0-1.19"
"78","10469",27,"bronx",19,1.42105263157895,"1.4-1.59"
"79","10470",16,"bronx",10,1.6,"1.4-1.59"
"80","10471",11,"bronx",13,0.846153846153846,"0.8-0.99"
"81","10472",24,"bronx",26,0.923076923076923,"0.8-0.99"
"82","10473",3,"bronx",3,1,"0.8-0.99"
"83","10474",7,"bronx",5,1.4,"1.2-1.39"
"84","10475",14,"bronx",8,1.75,"> 1.6"
"85","11001",1,"queens",1,1,"0.8-0.99"
"86","11004",15,"queens",13,1.15384615384615,"1.0-1.19"
"87","11101",44,"queens",54,0.814814814814815,"0.8-0.99"
"88","11102",7,"queens",20,0.35,"< 0.6"
"89","11103",55,"queens",53,1.0377358490566,"1.0-1.19"
"90","11104",20,"queens",23,0.869565217391304,"0.8-0.99"
"91","11105",34,"queens",38,0.894736842105263,"0.8-0.99"
"92","11106",37,"queens",41,0.902439024390244,"0.8-0.99"
"93","11109",2,"queens",2,1,"0.8-0.99"
"94","11201",58,"kings",96,0.604166666666667,"0.6-0.79"
"95","11203",36,"kings",22,1.63636363636364,"> 1.6"
"96","11204",43,"kings",40,1.075,"1.0-1.19"
"97","11205",34,"kings",45,0.755555555555556,"0.6-0.79"
"98","11206",22,"kings",38,0.578947368421053,"< 0.6"
"99","11207",25,"kings",24,1.04166666666667,"1.0-1.19"
"100","11208",26,"kings",28,0.928571428571429,"0.8-0.99"
"101","11209",46,"kings",54,0.851851851851852,"0.8-0.99"
"102","11210",16,"kings",16,1,"0.8-0.99"
"103","11211",70,"kings",91,0.769230769230769,"0.6-0.79"
"104","11212",31,"kings",24,1.29166666666667,"1.2-1.39"
"105","11213",22,"kings",16,1.375,"1.2-1.39"
"106","11214",30,"kings",34,0.882352941176471,"0.8-0.99"
"107","11215",70,"kings",79,0.886075949367089,"0.8-0.99"
"108","11216",36,"kings",32,1.125,"1.0-1.19"
"109","11217",47,"kings",56,0.839285714285714,"0.8-0.99"
"110","11218",35,"kings",32,1.09375,"1.0-1.19"
"111","11219",22,"kings",20,1.1,"1.0-1.19"
"112","11220",54,"kings",63,0.857142857142857,"0.8-0.99"
