"","region","freq","BORO","REST","orival","value"
"1","10001",1386,"new york",444,3.12162162162162,"3.0-3.19"
"2","10002",1216,"new york",378,3.21693121693122,"3.2-3.39"
"3","10003",1792,"new york",559,3.20572450805009,"3.2-3.39"
"4","10004",375,"new york",136,2.75735294117647,"2.6-2.79"
"5","10005",141,"new york",53,2.66037735849057,"2.6-2.79"
"6","10006",137,"new york",41,3.34146341463415,"3.2-3.39"
"7","10007",360,"new york",112,3.21428571428571,"3.2-3.39"
"8","10009",723,"new york",231,3.12987012987013,"3.0-3.19"
"9","10010",696,"new york",226,3.07964601769911,"3.0-3.19"
"10","10011",1195,"new york",384,3.11197916666667,"3.0-3.19"
"11","10012",1027,"new york",340,3.02058823529412,"3.0-3.19"
"12","10013",1468,"new york",425,3.45411764705882,"3.4-3.59"
"13","10014",929,"new york",311,2.98713826366559,"2.8-2.99"
"14","10016",1267,"new york",381,3.3254593175853,"3.2-3.39"
"15","10017",943,"new york",311,3.03215434083601,"3.0-3.19"
"16","10018",880,"new york",293,3.00341296928328,"3.0-3.19"
"17","10019",1797,"new york",599,3,"2.8-2.99"
"18","10020",85,"new york",39,2.17948717948718,"< 2.6"
"19","10021",417,"new york",131,3.18320610687023,"3.0-3.19"
"20","10022",1221,"new york",377,3.23872679045093,"3.2-3.39"
"21","10023",486,"new york",167,2.91017964071856,"2.8-2.99"
"22","10024",470,"new york",147,3.19727891156463,"3.0-3.19"
"23","10025",805,"new york",300,2.68333333333333,"2.6-2.79"
"24","10026",208,"new york",71,2.92957746478873,"2.8-2.99"
"25","10027",469,"new york",147,3.19047619047619,"3.0-3.19"
"26","10028",535,"new york",169,3.16568047337278,"3.0-3.19"
"27","10029",533,"new york",172,3.09883720930233,"3.0-3.19"
"28","10030",102,"new york",36,2.83333333333333,"2.8-2.99"
"29","10031",337,"new york",104,3.24038461538462,"3.2-3.39"
"30","10032",325,"new york",100,3.25,"3.2-3.39"
"31","10033",275,"new york",90,3.05555555555556,"3.0-3.19"
"32","10034",267,"new york",74,3.60810810810811,"> 3.6"
"33","10035",220,"new york",73,3.01369863013699,"3.0-3.19"
"34","10036",1541,"new york",512,3.009765625,"3.0-3.19"
"35","10037",89,"new york",31,2.87096774193548,"2.8-2.99"
"36","10038",466,"new york",160,2.9125,"2.8-2.99"
"37","10039",59,"new york",24,2.45833333333333,"< 2.6"
